Date,Name,Year,Letterboxd URI,Rating
2022-05-05,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,1.5
2022-05-26,Toni Erdmann,2016,https://boxd.it/d0xu,4.5
2022-06-08,Two Distant Strangers,2020,https://boxd.it/tBu0,4
2022-06-12,Run,2020,https://boxd.it/jVM4,2.5
2022-06-15,A Quiet Place Part II,2020,https://boxd.it/iTx0,4
2022-06-17,Hustle,2022,https://boxd.it/qpig,3
2022-06-20,I Am All Girls,2021,https://boxd.it/v2Ba,2.5
2022-06-21,Black Crab,2022,https://boxd.it/sAqO,2
2022-06-22,Baggio: The Divine Ponytail,2021,https://boxd.it/pWtE,2
2022-06-23,Toscana,2022,https://boxd.it/wtju,1.5
2022-06-25,Ricky Gervais: SuperNature,2022,https://boxd.it/AKvK,2.5
2022-06-28,Spiderhead,2022,https://boxd.it/mLsO,2
2022-07-11,If Anything Happens I Love You,2020,https://boxd.it/qIv4,3
2022-07-11,What If,2013,https://boxd.it/6ljk,3
2022-07-12,While We're Young,2014,https://boxd.it/7oOs,3
2022-07-14,Fantastic Beasts: The Secrets of Dumbledore,2022,https://boxd.it/bg8Q,1.5
2022-07-19,Roadrunner: A Film About Anthony Bourdain,2021,https://boxd.it/nRb2,3.5
2022-07-24,The Gray Man,2022,https://boxd.it/rb7q,1.5
2022-07-26,Ad Astra,2019,https://boxd.it/ePzI,2
2022-07-31,The Snowman,2017,https://boxd.it/cVcc,1.5
2022-08-03,Primal Fear,1996,https://boxd.it/28ws,4.5
2022-08-03,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/f42u,2
2022-08-07,American Psycho,2000,https://boxd.it/28Vs,3
2022-08-16,Unfaithful,2002,https://boxd.it/275A,2
2022-08-19,The Great Wall,2016,https://boxd.it/a04c,1.5
2022-08-21,Babysitter,2022,https://boxd.it/sKc8,2.5
2022-08-27,Chungking Express,1994,https://boxd.it/1UDa,4.5
2022-08-28,Searching for Sugar Man,2012,https://boxd.it/2Y3s,5
2022-09-04,I Came By,2022,https://boxd.it/wbVg,2
2022-09-08,The Man from Toronto,2022,https://boxd.it/oRgS,1.5
2022-09-18,Locked on You,2018,https://boxd.it/kKnu,2.5
2022-09-27,Love Me Instead,2021,https://boxd.it/xzEg,3.5
2022-09-28,Miracle in Cell No. 7,2019,https://boxd.it/nFrM,2
2022-10-01,Lou,2022,https://boxd.it/fdFK,1.5
2022-10-01,Matilda,1996,https://boxd.it/1VhY,3
2022-10-08,Triangle of Sadness,2022,https://boxd.it/hXlq,5
2022-10-16,The Worst Person in the World,2021,https://boxd.it/oyws,4
2022-10-19,The Lost Daughter,2021,https://boxd.it/kgww,3.5
2022-10-28,Cici,2022,https://boxd.it/CPZu,4.5
2022-10-29,The Redeem Team,2022,https://boxd.it/Cvz2,3
2022-10-30,The Square,2017,https://boxd.it/e5YW,4
2022-11-07,The Chalk Line,2022,https://boxd.it/Ahra,3
2022-11-26,In Good Hands,2022,https://boxd.it/zITo,1.5
2022-12-02,The Swimmers,2022,https://boxd.it/uXMi,4.5
2022-12-03,The Good Nurse,2022,https://boxd.it/jIXI,3.5
2022-12-08,The Festival of Troubadours,2022,https://boxd.it/xaKo,2
2022-12-13,Memory,2022,https://boxd.it/uPj8,2.5
2022-12-25,Glass Onion,2022,https://boxd.it/oCkK,4
2023-01-06,White Noise,2022,https://boxd.it/rXgK,2
2023-01-27,Deep Water,2022,https://boxd.it/mVHk,2.5
2023-01-30,The Tomorrow War,2021,https://boxd.it/lE78,2.5
2023-02-18,The Siren,2023,https://boxd.it/lFOs,4
2023-02-19,The Devil Queen,1974,https://boxd.it/7Haw,1.5
2023-02-19,Someday We'll Tell Each Other Everything,2023,https://boxd.it/DylE,2
2023-02-19,Kill Boksoon,2023,https://boxd.it/w53W,3.5
2023-02-19,Sun and Concrete,2023,https://boxd.it/yuFq,4.5
2023-02-20,Sisi & I,2023,https://boxd.it/yp3Q,2.5
2023-02-21,Ingeborg Bachmann – Journey into the Desert,2023,https://boxd.it/AXWE,3
2023-02-21,Passages,2023,https://boxd.it/xX9c,4.5
2023-02-22,Family Time,2023,https://boxd.it/yTmI,2.5
2023-02-25,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4.5
2023-02-27,The Gentlemen,2019,https://boxd.it/iYBQ,3
2023-03-06,Infiesto,2023,https://boxd.it/EzLK,1.5
2023-03-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2023-03-28,Memoirs of a Geisha,2005,https://boxd.it/27TA,2
2023-04-01,The Oxford Murders,2008,https://boxd.it/1Scc,2
2023-05-08,Chokehold,2023,https://boxd.it/zCGo,2
2023-05-14,The Bone Collector,1999,https://boxd.it/1Yzw,3
2023-06-05,The Other Side of Hope,2017,https://boxd.it/fcFE,4.5
2023-06-09,"Argentina, 1985",2022,https://boxd.it/qLxM,4
2023-06-11,"Don't Worry, He Won't Get Far on Foot",2018,https://boxd.it/fLeo,3.5
2023-06-14,Air,2023,https://boxd.it/Arlc,4.5
2023-07-02,Boston Strangler,2023,https://boxd.it/xfiY,4
2023-07-07,Asteroid City,2023,https://boxd.it/s3ds,3.5
2023-07-15,Avatar: The Way of Water,2022,https://boxd.it/2E2E,1.5
2023-08-20,Page Eight,2011,https://boxd.it/2m3u,3.5
2023-08-25,Street Kings,2008,https://boxd.it/28Yw,2.5
2023-08-25,Non-Stop,2014,https://boxd.it/6FtO,3.5
2023-08-26,Oppenheimer,2023,https://boxd.it/wUow,3.5
2023-08-27,The Menu,2022,https://boxd.it/lScm,4
2023-09-10,Random Hearts,1999,https://boxd.it/1Rz0,1.5
2023-09-14,Safe House,2012,https://boxd.it/hbk,3
2023-09-16,A Monster Calls,2016,https://boxd.it/7DjE,2.5
2023-09-28,Bullet Train,2022,https://boxd.it/qW26,3.5
2023-09-30,Kimi,2022,https://boxd.it/u7LW,3
2023-10-01,Reptile,2023,https://boxd.it/wKjc,3.5
