Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-12-29,Harry Potter and the Goblet of Fire,2005,https://boxd.it/1xHTaL,,,,2009-11-23
2020-12-29,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/1xHTaV,,,,2009-11-23
2020-12-29,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/1xHTb5,,,,2009-11-23
2020-12-29,Pirates of the Caribbean: At World's End,2007,https://boxd.it/1xHTbf,,,,2009-11-23
2020-12-29,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/1xHTbp,,,,2009-11-23
2020-12-29,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/1xHTbz,,,,2009-11-23
2020-12-29,12 Angry Men,1957,https://boxd.it/1xHTbJ,,,,2009-11-23
2020-12-29,Persona,1966,https://boxd.it/1xHTbT,,,,2009-11-23
2020-12-29,The Day of the Jackal,1973,https://boxd.it/1xHTc3,,,,2009-11-23
2020-12-29,That Obscure Object of Desire,1977,https://boxd.it/1xHTcd,,,,2009-11-23
2020-12-29,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/1xHTcn,,,,2009-11-23
2020-12-29,"Paris, Texas",1984,https://boxd.it/1xHTcx,,,,2009-11-23
2020-12-29,Rain Man,1988,https://boxd.it/1xHTcH,,,,2009-11-23
2020-12-29,Castle in the Sky,1986,https://boxd.it/1xHTcR,,,,2009-11-23
2020-12-29,Nausicaä of the Valley of the Wind,1984,https://boxd.it/1xHTdb,,,,2009-11-23
2020-12-29,My Neighbor Totoro,1988,https://boxd.it/1xHTdl,,,,2009-11-23
2020-12-29,Underground,1995,https://boxd.it/1xHTdv,,,,2009-11-23
2020-12-29,The Straight Story,1999,https://boxd.it/1xHTdF,,,,2009-11-23
2020-12-29,Before Sunrise,1995,https://boxd.it/1xHTdP,,,,2009-11-23
2020-12-29,Three Colours: Red,1994,https://boxd.it/1xHTdZ,,,,2009-11-23
2020-12-29,La Haine,1995,https://boxd.it/1xHTe9,,,,2009-11-23
2020-12-29,The Breath,2009,https://boxd.it/1xHTej,,,,2009-11-23
